Customer_ID,Age,Gender,Location,Product_Category,Item_Purchased,Purchase_Amount,Discount_Percent,Review_Rating,Previous_Purchases,Subscription_Status,Payment_Method,Shipping_Type,Purchase_Frequency
10033,22.0,Male,Peshawar,Electronics,Keyboard,4745.0,5,3.7,0,Yes,Bank Transfer,Same Day,Weekly
10034,44.0,Male,Karachi,Beauty,Face Cream,3645.0,30,5.0,15,No,Credit Card,Standard,Monthly
10035,60.0,Female,Multan,Books,Novel,7750.0,20,2.8,3,Yes,Digital Wallet,Standard,Quarterly
10036,21.0,Male,Peshawar,Electronics,Smartwatch,5614.0,15,2.9,10,No,Digital Wallet,Standard,Quarterly
10037,59.0,Male,Karachi,Sports,Running Shoes,1614.0,10,2.8,0,No,Debit Card,Standard,Monthly
10038,57.0,Male,Islamabad,Electronics,Headphones,5977.0,5,5.0,2,No,Credit Card,Standard,Monthly
10039,31.0,Female,Faisalabad,Sports,Yoga Mat,2796.0,0,3.4,3,No,Cash,Same Day,Monthly
10040,48.0,Male,Islamabad,Beauty,Face Cream,3231.0,20,3.8,10,No,Digital Wallet,Express,Monthly
10041,25.0,Female,Karachi,Clothing,Jeans,5190.0,0,3.5,11,No,Digital Wallet,Standard,Monthly
10042,54.0,Male,Peshawar,Electronics,Smartphone,3418.0,0,3.0,8,No,Debit Card,Express,Quarterly
10043,51.0,female,Peshawar,Electronics,Smartphone,6464.0,20,3.6,15,No,Debit Card,Standard,Monthly
10044,35.0,Male,Islamabad,Clothing,Jacket,2796.0,30,5.0,18,Yes,Bank Transfer,Express,Rarely
10045,21.0,Female,Multan,Clothing,T-Shirt,3138.0,20,4.9,18,No,Bank Transfer,Standard,Monthly
10046,64.0,Female,Islamabad,Electronics,Smartwatch,3056.0,10,3.1,14,No,Cash,Express,Weekly
10047,39.0,Female,Multan,Clothing,Jacket,3256.0,10,4.3,13,No,Bank Transfer,Same Day,Fortnightly
10048,60.0,Female,Faisalabad,Clothing,Sneakers,6918.0,10,3.1,12,No,Digital Wallet,Express,Monthly
10049,50.0,Female,Islamabad,Home,Lamp,5883.0,10,2.4,5,No,Bank Transfer,Express,Monthly
10050,55.0,Female,Lahore,Home,Cookware,8262.0,15,4.6,12,Yes,Debit Card,Standard,Monthly
10051,54.0,Female,Faisalabad,Home,Bedsheet,9489.0,10,4.7,0,No,Debit Card,Express,Quarterly
10052,27.0,Male,Karachi,Electronics,Headphones,2232.0,15,4.6,24,Yes,Credit Card,Standard,Fortnightly
10053,35.0,Female,Karachi,Sports,Running Shoes,4655.0,25,3.4,9,Yes,Bank Transfer,Express,Monthly
10054,40.0,Female,Karachi,Beauty,Perfume,1912.0,30,3.7,18,No,Credit Card,Standard,Quarterly
10055,41.0,Female,Peshawar,Clothing,Sneakers,2789.0,0,4.4,23,Yes,Credit Card,Standard,Monthly
10056,20.0,Male,Lahore,Clothing,Jeans,3114.0,10,4.1,12,No,Credit Card,Standard,Monthly
10057,44.0,Male,Multan,Home,Bedsheet,2174.0,5,3.5,21,No,Credit Card,Standard,Fortnightly
10058,25.0,Female,Peshawar,Clothing,T-Shirt,2186.0,10,2.5,11,Yes,Credit Card,Express,Monthly
10059,53.0,Male,Lahore,Beauty,Perfume,4183.0,5,3.9,3,No,Cash,Express,Quarterly
10060,50.0,Male,Faisalabad,Books,Notebook,1823.0,0,4.7,0,Yes,Bank Transfer,Same Day,Rarely
10061,62.0,Male,Faisalabad,Clothing,T-Shirt,6353.0,20,2.8,3,No,Debit Card,Standard,Monthly
10062,53.0,Male,Islamabad,Clothing,Jeans,2481.0,10,4.3,23,No,Digital Wallet,Same Day,Fortnightly
10063,35.0,Male,Multan,Books,Notebook,10681.0,25,4.1,11,No,Cash,Standard,Quarterly
10064,64.0,Male,Islamabad,Beauty,Face Cream,3507.0,0,4.4,7,No,Bank Transfer,Standard,Quarterly
10065,37.0,Male,Islamabad,Clothing,Jacket,4658.0,0,4.5,11,No,Cash,Express,Monthly
10066,33.0,Male,Islamabad,Sports,Cricket Bat,1650.0,10,3.2,6,No,Debit Card,Standard,Quarterly
10067,61.0,Male,Multan,Sports,Running Shoes,8253.0,0,2.5,21,No,Debit Card,Standard,Weekly
10068,35.0,Female,Faisalabad,Beauty,Shampoo,6963.0,5,3.4,24,No,Debit Card,Standard,Weekly
10069,21.0,Male,Islamabad,Beauty,Face Cream,5153.0,30,4.5,2,No,Bank Transfer,Standard,Weekly
10070,40.0,Female,Peshawar,Clothing,T-Shirt,1537.0,5,3.4,17,Yes,Digital Wallet,Express,Fortnightly
10071,56.0,Female,Multan,Clothing,Jeans,4963.0,5,3.2,8,No,Credit Card,Standard,Quarterly
10072,27.0,Female,Peshawar,Beauty,Perfume,2033.0,15,,1,Yes,Digital Wallet,Standard,Monthly
10073,40.0,Male,Multan,Electronics,Headphones,7717.0,10,5.0,23,No,Cash,Standard,Fortnightly
10074,24.0,Female,Islamabad,Home,Bedsheet,6280.0,15,4.5,1,Yes,Credit Card,Standard,Monthly
10075,50.0,Female,Multan,Sports,Cricket Bat,4710.0,10,4.4,5,Yes,Credit Card,Express,Monthly
10076,40.0,Female,Karachi,Clothing,Jacket,500.0,20,4.6,0,No,Digital Wallet,Same Day,Fortnightly
10077,33.0,Female,Karachi,Beauty,Face Cream,2336.0,0,4.3,11,No,Cash,Express,Weekly
10078,28.0,Female,Islamabad,Clothing,Sneakers,6013.0,10,3.6,14,No,Credit Card,Express,Monthly
10079,45.0,Female,Peshawar,Sports,Football,7168.0,20,3.7,8,No,Debit Card,Standard,Weekly
10080,50.0,Male,Faisalabad,Clothing,Jeans,6940.0,25,3.5,1,No,Digital Wallet,Express,Quarterly
10081,63.0,Female,Islamabad,Beauty,Perfume,998.0,10,5.0,2,Yes,Debit Card,Standard,Fortnightly
10082,38.0,Male,Islamabad,Beauty,Lipstick,5163.0,15,4.2,23,Yes,Digital Wallet,Standard,Quarterly
10083,25.0,Female,Karachi,Electronics,Smartphone,6734.0,0,3.4,20,No,Bank Transfer,Express,Quarterly
10084,57.0,Female,Faisalabad,Home,Lamp,852.0,0,4.2,23,Yes,Bank Transfer,Standard,Weekly
10085,48.0,Male,Islamabad,Home,Cushion,4483.0,0,3.0,13,No,Bank Transfer,Express,Weekly
10086,51.0,Female,Faisalabad,Beauty,Perfume,5102.0,20,5.0,13,Yes,Cash,Express,Rarely
10087,22.0,Male,Islamabad,Home,Lamp,3838.0,5,3.3,19,Yes,Debit Card,Same Day,Monthly
10088,32.0,Female,Karachi,Books,Novel,500.0,20,4.2,15,Yes,Debit Card,Standard,Monthly
10089,54.0,Male,Peshawar,Electronics,Headphones,3783.0,0,4.7,10,Yes,Credit Card,Standard,Weekly
10090,57.0,Female,Islamabad,Beauty,Perfume,3780.0,25,4.1,7,Yes,Cash,Express,Fortnightly
10091,38.0,Male,Lahore,Clothing,Jeans,4174.0,25,3.9,12,No,Cash,Standard,Monthly
10092,56.0,Female,Islamabad,Sports,Yoga Mat,3260.0,0,3.8,1,Yes,Bank Transfer,Standard,Rarely
10093,58.0,Female,Faisalabad,Beauty,Shampoo,3525.0,0,3.8,4,No,Bank Transfer,Express,Fortnightly
10094,36.0,Female,Lahore,Electronics,Headphones,4413.0,0,3.3,18,No,Credit Card,Same Day,Quarterly
10095,61.0,Female,Karachi,Clothing,Sneakers,5473.0,25,3.4,21,No,Bank Transfer,Express,Monthly
10096,31.0,Female,Lahore,Sports,Running Shoes,28000.0,5,5.0,2,No,Bank Transfer,Standard,Weekly
10097,29.0,Female,Faisalabad,Electronics,Headphones,3599.0,15,3.7,2,Yes,Digital Wallet,Standard,Fortnightly
10098,50.0,Male,Multan,Home,Cushion,4703.0,10,3.2,2,Yes,Digital Wallet,Standard,Fortnightly
10099,48.0,Female,Peshawar,Clothing,T-Shirt,500.0,20,3.4,19,Yes,Digital Wallet,Standard,Monthly
10100,24.0,Male,Islamabad,Books,Notebook,5549.0,10,4.7,7,No,Cash,Standard,Monthly
10101,57.0,Female,Peshawar,Clothing,Jeans,4499.0,15,4.3,8,No,Bank Transfer,Standard,Monthly
10102,27.0,Male,Karachi,Clothing,T-Shirt,4587.0,30,4.2,0,Yes,Credit Card,Standard,Fortnightly
10103,56.0,Female,Multan,Sports,Football,6614.0,0,3.6,24,No,Debit Card,Standard,Quarterly
10104,18.0,Female,Faisalabad,Books,Notebook,500.0,25,4.3,10,No,Bank Transfer,Standard,Monthly
10105,56.0,Male,Multan,Clothing,Jacket,500.0,0,3.3,19,No,Bank Transfer,Standard,Monthly
10106,55.0,Female,Multan,Electronics,Smartphone,5102.0,10,3.6,17,No,Debit Card,Standard,Monthly
10107,55.0,Female,Faisalabad,Home,Bedsheet,4484.0,25,4.6,3,No,Digital Wallet,Express,Fortnightly
10108,49.0,Female,Karachi,Sports,Yoga Mat,4874.0,15,4.5,20,No,Cash,Standard,Quarterly
10109,40.0,Female,Faisalabad,Electronics,Smartwatch,3483.0,20,3.0,13,No,Cash,Express,Monthly
10110,51.0,Female,Multan,Beauty,Face Cream,5962.0,5,3.1,15,Yes,Cash,Standard,Monthly
10111,31.0,Female,Peshawar,Home,Cookware,6552.0,10,3.9,5,Yes,Digital Wallet,Standard,Weekly
10112,55.0,Male,Peshawar,Home,Bedsheet,5565.0,10,5.0,21,No,Debit Card,Standard,Monthly
10113,44.0,Male,Karachi,Sports,Football,3926.0,15,2.3,23,No,Debit Card,Standard,Monthly
10114,40.0,Male,Faisalabad,Beauty,Lipstick,500.0,10,4.0,10,No,Bank Transfer,Standard,Monthly
10115,42.0,Female,Lahore,Clothing,Jeans,6192.0,10,2.7,2,No,Debit Card,Express,Quarterly
10116,45.0,Male,Multan,Books,Notebook,7188.0,10,3.3,21,Yes,Debit Card,Same Day,Quarterly
10117,19.0,Female,Peshawar,Sports,Cricket Bat,5918.0,5,3.5,22,No,Cash,Standard,Weekly
10118,24.0,Female,Lahore,Sports,Cricket Bat,2565.0,10,3.5,12,Yes,Cash,Standard,Quarterly
10119,29.0,Male,Faisalabad,Clothing,T-Shirt,5982.0,0,3.4,14,No,Digital Wallet,Express,Monthly
10120,23.0,Female,Peshawar,Clothing,Sneakers,6393.0,25,3.8,5,No,Debit Card,Standard,Rarely
10121,39.0,Female,Peshawar,Home,Cookware,7929.0,15,3.4,1,Yes,Cash,Standard,Fortnightly
10122,50.0,Male,Islamabad,Clothing,Sneakers,2573.0,0,2.6,23,Yes,Credit Card,Express,Fortnightly
10123,49.0,Male,Lahore,Books,Notebook,4002.0,20,4.4,12,No,Credit Card,Standard,Monthly
10124,40.0,Male,Peshawar,Electronics,Keyboard,6144.0,25,4.4,6,Yes,Credit Card,Express,Fortnightly
10125,59.0,Male,Peshawar,Home,Cushion,4626.0,5,4.5,17,Yes,Credit Card,Standard,Quarterly
10126,45.0,Male,Faisalabad,Sports,Running Shoes,2042.0,0,2.6,0,No,Bank Transfer,Standard,Monthly
10127,21.0,Female,Peshawar,Electronics,Smartwatch,5412.0,0,4.0,1,Yes,,Standard,Fortnightly
10128,54.0,Male,Lahore,Electronics,Smartwatch,5773.0,0,4.3,6,No,Credit Card,Express,Monthly
10129,45.0,Male,Faisalabad,Beauty,Shampoo,4694.0,20,3.0,11,Yes,Debit Card,Standard,Rarely
10130,48.0,Female,Lahore,Beauty,Lipstick,4983.0,30,3.8,9,No,Debit Card,Express,Quarterly
10131,45.0,Female,Peshawar,Electronics,Smartphone,3931.0,0,3.7,4,Yes,Digital Wallet,Express,Monthly
10132,44.0,Female,Multan,Beauty,Perfume,7752.0,20,5.0,8,Yes,Digital Wallet,Express,Fortnightly
10133,22.0,Female,Peshawar,Books,Programming Book,2518.0,0,5.0,8,Yes,Credit Card,Standard,Fortnightly
10134,44.0,Male,Faisalabad,Electronics,Headphones,3208.0,15,2.5,13,Yes,Debit Card,Standard,Quarterly
10135,56.0,Male,Lahore,Clothing,Jacket,4524.0,20,5.0,14,Yes,Cash,Standard,Quarterly
10136,32.0,Female,Lahore,Electronics,Headphones,6434.0,10,3.1,22,Yes,Bank Transfer,Standard,Monthly
10137,46.0,Female,Islamabad,Electronics,Keyboard,1206.0,0,4.6,20,Yes,Cash,Same Day,Quarterly
10138,19.0,Female,Multan,Clothing,Jeans,1617.0,15,4.6,7,No,Cash,Standard,Weekly
10139,34.0,Male,Lahore,Clothing,Jeans,500.0,30,3.0,22,No,Bank Transfer,Express,Quarterly
10140,38.0,Female,Peshawar,Home,Cushion,4572.0,5,4.2,13,Yes,Cash,Standard,Fortnightly
10141,65.0,Female,Karachi,Electronics,Smartphone,2040.0,5,3.7,4,Yes,Debit Card,Standard,Weekly
10142,28.0,Male,Islamabad,Books,Notebook,3654.0,0,4.2,8,No,Cash,Standard,Monthly
10143,31.0,Female,Karachi,Clothing,Jeans,5955.0,15,4.0,18,No,Bank Transfer,Express,Monthly
10144,37.0,Female,Islamabad,Clothing,Jacket,3089.0,15,4.8,20,No,Bank Transfer,Standard,Rarely
10145,65.0,Male,Islamabad,Home,Bedsheet,5009.0,20,3.9,9,Yes,Debit Card,Standard,Fortnightly
10146,58.0,Male,Lahore,Sports,Cricket Bat,3841.0,20,3.7,3,No,Digital Wallet,Express,Quarterly
10147,19.0,Female,Faisalabad,Clothing,Jacket,5979.0,25,4.7,4,Yes,Debit Card,Standard,Quarterly
10148,29.0,Male,Multan,Clothing,Sneakers,5545.0,20,4.3,2,Yes,Cash,Standard,Monthly
10149,57.0,Male,Peshawar,Clothing,Sneakers,2978.0,5,4.4,17,Yes,Cash,Standard,Rarely
10150,20.0,Male,Karachi,Beauty,Face Cream,4129.0,15,3.3,12,No,Credit Card,Standard,Monthly
10151,59.0,Male,Peshawar,Electronics,Keyboard,6796.0,5,3.0,11,Yes,Credit Card,Standard,Monthly
10152,31.0,Female,Peshawar,Clothing,T-Shirt,5365.0,10,3.3,16,No,Credit Card,Standard,Fortnightly
10153,62.0,Female,Peshawar,Clothing,T-Shirt,1427.0,30,3.3,20,Yes,Credit Card,Express,Fortnightly
10154,32.0,Male,Islamabad,Beauty,Lipstick,5942.0,20,4.4,19,Yes,Debit Card,Standard,Quarterly
10155,38.0,Female,Peshawar,Books,Novel,2114.0,30,4.6,3,No,Cash,Standard,Monthly
10156,49.0,Female,Faisalabad,Home,Bedsheet,7608.0,10,3.7,14,No,Bank Transfer,Standard,Monthly
10157,24.0,Male,Lahore,Beauty,Lipstick,6753.0,15,4.9,22,Yes,Credit Card,Standard,Fortnightly
10158,44.0,Female,Karachi,Clothing,Sneakers,5138.0,10,4.9,19,No,Bank Transfer,Standard,Monthly
10159,42.0,Male,Multan,Clothing,Jacket,4846.0,0,4.0,8,Yes,Debit Card,Standard,Quarterly
10160,55.0,Female,Lahore,Electronics,Smartwatch,4040.0,5,3.1,9,Yes,Digital Wallet,Standard,Fortnightly
10161,65.0,Female,Islamabad,Home,Lamp,5993.0,15,5.0,22,No,Debit Card,Standard,Quarterly
10162,49.0,Female,Multan,Sports,Running Shoes,3684.0,0,3.8,0,Yes,Credit Card,Same Day,Monthly
10163,37.0,Male,Lahore,Books,Novel,5018.0,30,3.9,13,No,Debit Card,Express,Quarterly
10164,37.0,Female,Islamabad,Books,Notebook,6418.0,0,3.5,2,No,Bank Transfer,Standard,Fortnightly
10165,38.0,Male,Karachi,Books,Novel,3264.0,5,3.1,22,Yes,Debit Card,Standard,Monthly
10166,57.0,Male,Faisalabad,Books,Notebook,3144.0,20,2.6,0,Yes,Debit Card,Standard,Fortnightly
10167,33.0,Male,Karachi,Clothing,Jacket,1872.0,0,4.3,0,Yes,Debit Card,Express,Monthly
10168,26.0,Female,Peshawar,Clothing,Jeans,2158.0,25,3.2,8,No,Credit Card,Standard,Quarterly
10169,34.0,Male,Lahore,Electronics,Smartwatch,500.0,20,5.0,5,No,Credit Card,Standard,Monthly
10170,19.0,Female,Peshawar,Beauty,Shampoo,6106.0,0,2.9,12,No,Digital Wallet,Standard,Fortnightly
10171,23.0,Female,Multan,Clothing,Jacket,8480.0,20,2.8,7,Yes,Bank Transfer,Standard,Quarterly
10172,22.0,Male,Peshawar,Sports,Running Shoes,7636.0,15,4.2,8,No,Cash,Standard,Weekly
10173,55.0,Male,Peshawar,Beauty,Perfume,923.0,20,5.0,14,Yes,Digital Wallet,Express,Monthly
10174,52.0,Male,Karachi,Beauty,Perfume,6095.0,20,3.9,14,No,Bank Transfer,Same Day,Rarely
10175,51.0,Female,Peshawar,Clothing,Sneakers,7629.0,20,4.3,23,No,Cash,Standard,Monthly
10176,40.0,Female,Faisalabad,Clothing,Jacket,3495.0,15,2.3,12,No,Bank Transfer,Standard,Quarterly
10177,52.0,Male,Peshawar,Clothing,Jacket,4723.0,10,3.3,14,Yes,Debit Card,Standard,Monthly
10178,25.0,Female,Peshawar,Sports,Yoga Mat,500.0,20,2.9,16,Yes,Digital Wallet,Standard,Quarterly
10179,61.0,Male,Faisalabad,Beauty,Face Cream,5087.0,30,2.3,4,Yes,Debit Card,Standard,Monthly
10180,42.0,Female,Islamabad,Home,Lamp,2160.0,15,3.9,16,No,Debit Card,Standard,Quarterly
10181,63.0,Female,Lahore,Electronics,Headphones,4939.0,15,2.0,21,No,Credit Card,Express,Fortnightly
10182,25.0,Female,Lahore,Electronics,Headphones,1065.0,10,2.7,7,Yes,Credit Card,Same Day,Quarterly
10183,41.0,Female,Islamabad,Electronics,Keyboard,5694.0,20,3.4,4,No,Bank Transfer,Express,Fortnightly
10184,51.0,Female,Multan,Home,Lamp,6754.0,30,3.1,8,No,Digital Wallet,Express,Rarely
10185,41.0,Male,Faisalabad,Home,Cookware,2777.0,0,4.1,6,Yes,Digital Wallet,Standard,Fortnightly
10186,39.0,Male,Islamabad,Clothing,Sneakers,1999.0,5,4.0,14,Yes,Bank Transfer,Standard,Fortnightly
10187,25.0,Male,Karachi,Books,Programming Book,500.0,15,4.5,21,Yes,Bank Transfer,Standard,Quarterly
10188,36.0,MALE,Faisalabad,Clothing,Jeans,3914.0,10,4.4,14,No,Debit Card,Standard,Fortnightly
10189,29.0,Female,Faisalabad,Sports,Football,3220.0,15,4.7,3,No,Credit Card,Standard,Monthly
10190,32.0,Female,Peshawar,Clothing,Sneakers,1088.0,0,3.8,7,No,Bank Transfer,Express,Quarterly
10191,50.0,Female,Multan,Clothing,T-Shirt,5497.0,10,4.0,17,No,Credit Card,Standard,Fortnightly
10192,48.0,Male,Faisalabad,Sports,Cricket Bat,3510.0,15,4.2,8,No,Credit Card,Standard,Fortnightly
10193,47.0,Female,Peshawar,Clothing,Jacket,2133.0,15,3.9,14,No,Digital Wallet,Standard,Monthly
10194,35.0,Male,Islamabad,Electronics,Headphones,3280.0,15,3.5,17,No,Debit Card,Same Day,Fortnightly
10195,64.0,Male,Peshawar,Electronics,Keyboard,6857.0,20,3.5,8,No,Credit Card,Standard,Fortnightly
10196,22.0,Female,Islamabad,Clothing,T-Shirt,5826.0,15,3.1,16,No,Digital Wallet,Standard,Weekly
10197,34.0,Female,Lahore,Home,Lamp,4214.0,20,4.1,9,No,Digital Wallet,Standard,Monthly
10198,23.0,Female,Islamabad,Sports,Running Shoes,5862.0,15,3.7,3,No,Credit Card,Express,Fortnightly
10199,34.0,Male,Lahore,Sports,Running Shoes,1946.0,15,3.3,9,No,Debit Card,Same Day,Weekly
10200,64.0,Female,Lahore,Electronics,Smartphone,4571.0,15,3.3,11,No,Debit Card,Standard,Monthly
10201,35.0,Male,Peshawar,Beauty,Lipstick,4824.0,0,2.8,0,No,Bank Transfer,Same Day,Monthly
10202,61.0,Female,Multan,Clothing,Sneakers,3466.0,5,4.6,22,No,Digital Wallet,Standard,Weekly
10203,41.0,Female,Karachi,Clothing,Sneakers,5458.0,15,3.9,13,No,Debit Card,Express,Fortnightly
10204,51.0,Male,Peshawar,Clothing,T-Shirt,2783.0,25,3.1,0,No,Bank Transfer,Standard,Quarterly
10205,,Male,Lahore,Books,Notebook,5622.0,15,4.4,21,No,Debit Card,Standard,Monthly
10206,30.0,Male,Karachi,Sports,Cricket Bat,5714.0,0,3.4,21,No,Digital Wallet,Express,Monthly
10207,54.0,Female,Multan,Home,Bedsheet,500.0,15,2.7,0,No,Debit Card,Standard,Monthly
10208,64.0,Male,Karachi,Beauty,Lipstick,7119.0,5,4.6,4,Yes,Credit Card,Standard,Fortnightly
10209,30.0,Female,Multan,Beauty,Perfume,500.0,20,3.4,9,No,Debit Card,Express,Quarterly
10210,55.0,Female,Peshawar,Beauty,Face Cream,3145.0,20,3.5,12,No,Digital Wallet,Same Day,Rarely
10211,30.0,Female,Lahore,Beauty,Lipstick,6756.0,15,3.8,18,No,Bank Transfer,Standard,Rarely
10212,52.0,Male,Lahore,Electronics,Smartphone,3802.0,15,4.7,10,No,Cash,Express,Fortnightly
10213,55.0,Female,Peshawar,Clothing,Jeans,1274.0,10,3.8,15,No,Cash,Express,Fortnightly
10214,39.0,Male,Faisalabad,Clothing,Sneakers,2094.0,10,2.8,0,No,Debit Card,Standard,Fortnightly
10215,53.0,Female,Faisalabad,Books,Cookbook,6759.0,25,4.2,16,Yes,Digital Wallet,Express,Fortnightly
10216,31.0,Female,Islamabad,Beauty,Perfume,500.0,20,3.4,22,No,Debit Card,Standard,Monthly
10217,21.0,Female,Islamabad,Books,Novel,6984.0,15,5.0,13,Yes,Debit Card,Express,Monthly
10218,22.0,Female,Multan,Clothing,Jeans,4379.0,10,3.8,11,No,Bank Transfer,Standard,Fortnightly
10219,39.0,Male,Faisalabad,Beauty,Lipstick,1877.0,0,2.0,7,No,Debit Card,Standard,Rarely
10220,61.0,Female,Lahore,Clothing,Jeans,3217.0,0,4.1,23,No,Digital Wallet,Standard,Weekly
10221,24.0,Male,Faisalabad,Clothing,Jacket,2262.0,5,5.0,0,Yes,Bank Transfer,Standard,Weekly
10222,39.0,Male,Multan,Clothing,Jeans,6406.0,10,5.0,7,Yes,Bank Transfer,Express,Quarterly
10223,51.0,Male,Lahore,Clothing,Sneakers,6111.0,30,5.0,3,No,Bank Transfer,Same Day,Quarterly
10224,27.0,Male,Islamabad,Books,Programming Book,718.0,15,3.0,21,No,Bank Transfer,Standard,Monthly
10225,52.0,Male,Multan,Electronics,Keyboard,3612.0,5,4.5,12,Yes,Cash,Standard,Monthly
10226,32.0,Male,Faisalabad,Beauty,Lipstick,2601.0,0,3.2,23,No,Debit Card,Standard,Fortnightly
10227,56.0,Male,Lahore,Electronics,Keyboard,7346.0,10,4.0,16,Yes,Cash,Standard,Fortnightly
10228,45.0,Female,Lahore,Electronics,Smartphone,1530.0,20,2.8,13,No,Debit Card,Standard,Monthly
10229,44.0,Female,Faisalabad,Beauty,Shampoo,8029.0,10,3.3,12,Yes,Cash,Express,Monthly
10230,26.0,Male,Islamabad,Clothing,Sneakers,4427.0,20,3.3,5,Yes,Debit Card,Express,Monthly
10231,40.0,Male,Peshawar,Books,Programming Book,1944.0,20,4.5,14,Yes,Credit Card,Standard,Fortnightly
10232,59.0,Male,Faisalabad,Sports,Football,3010.0,0,4.4,17,No,Cash,Standard,Monthly
10233,18.0,Female,Peshawar,Home,Cookware,2736.0,15,4.0,24,No,Cash,Express,Quarterly
10234,54.0,Male,Karachi,Electronics,Headphones,1696.0,30,2.7,13,No,Debit Card,Standard,Fortnightly
10235,41.0,Male,Islamabad,Clothing,Jacket,4709.0,10,3.6,23,No,Cash,Standard,Weekly
10236,52.0,Male,Lahore,Books,Cookbook,1799.0,0,3.2,23,Yes,Digital Wallet,Standard,Monthly
10237,49.0,Male,Faisalabad,Electronics,Smartphone,500.0,25,4.5,13,Yes,Bank Transfer,Standard,Quarterly
10238,38.0,Male,Karachi,Clothing,Sneakers,3665.0,25,4.7,10,Yes,Bank Transfer,Standard,Monthly
10239,32.0,Female,Islamabad,Electronics,Smartwatch,534.0,15,4.6,3,No,Cash,Express,Quarterly
10240,48.0,Female,Islamabad,Sports,Football,2845.0,15,3.2,6,Yes,Bank Transfer,Standard,Monthly
